transacao_id,cliente_id,nome_cliente,data_transacao,hora_transacao,valor_transacao,tipo_transacao,canal,metodo,destinatario,status,motivo_detalhe,device
25M0GW5S,350,Ana Silva,2026-09-23,09:18:03,"991,1",Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,a9283d9gn0sakfadm
UPFJD8S2,350,Ana Silva,2026-09-23,09:20:47,"980,7",Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,a9283d9gn0sakfadm
17CJ1GQS,399,Carlos Eduardo,2026-09-23,10:42:11,"799,99",Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,e910283910amks019
QCGVJIXF,399,Carlos Eduardo,2026-09-23,10:44:02,"799,99",Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,e910283910amks019
ICTTJ4US,399,Carlos Eduardo,2026-09-23,10:46:19,"799,99",Pix,Online,Device,Mercado Aurora,Negada,Falta de saldo,e910283910amks019
UHAX3CY4,410,Gustavo Cardoso,2026-09-23,02:11:44,640,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,m910283910ak0192a
P7PU2SZC,410,Gustavo Cardoso,2026-09-23,02:14:18,640,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,m910283910ak0192a
A8KQMC6Q,410,Gustavo Cardoso,2026-09-23,02:17:02,640,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,m910283910ak0192a
18RMBMEX,420,Lucas Barros,2026-09-23,23:54:37,1180,Pix,Online,Device,Camila Nunes,Aprovada,Sucesso,o910283910amks019
YMD601YB,382,Igor Machado,2026-09-22,18:07:11,"1249,9",Pix,Online,Device,Beatriz Martins,Negada,Limite Pix excedido,b910283910amkz912
VA38T5WP,382,Igor Machado,2026-09-22,18:09:02,"1249,9",Pix,Online,Device,Beatriz Martins,Aprovada,Sucesso,b910283910amkz912
WVQSI3C7,382,Igor Machado,2026-09-22,18:10:36,"1249,9",Pix,Online,Device,Beatriz Martins,Aprovada,Sucesso,b910283910amkz912
TR7KDEO3,400,Fernanda Lima,2026-09-23,12:31:05,410,Pix,Online,Device,Juliana Mendes,Aprovada,Sucesso,r910283910amkz912
CIZX8HPV,400,Fernanda Lima,2026-09-23,12:33:12,395,Pix,Online,Device,Mercado Bom Vizinho,Aprovada,Sucesso,r910283910amkz912
N7EDA3PM,400,Fernanda Lima,2026-09-23,12:35:19,420,Pix,Online,Device,Lucas Andrade,Aprovada,Sucesso,r910283910amkz912
A9IDLJDM,400,Fernanda Lima,2026-09-23,12:38:01,399,Pix,Online,Device,Petshop Ponto Verde,Aprovada,Sucesso,r910283910amkz912
RKV6WF3Z,395,Olivia Rocha,2026-09-22,15:20:44,999,Pix,Online,Device,Renata Souza,Aprovada,Sucesso,w910283910amkz912
9IR7R5U5,395,Olivia Rocha,2026-09-22,15:25:02,999,Pix,Online,Device,Renata Souza,Aprovada,Sucesso,w910283910amkz912
FFO49L4M,395,Olivia Rocha,2026-09-22,15:29:31,999,Pix,Online,Device,Renata Souza,Aprovada,Sucesso,w910283910amkz912
CPZXMJ2Q,405,Camila Almeida,2026-09-22,16:14:09,2870,Cartão de Crédito,Online,Device,Eletronix Curitiba,Aprovada,Sucesso,p29103810kas9102a
VWWYNLVH,405,Camila Almeida,2026-09-22,16:19:21,2640,Cartão de Crédito,Online,Device,Boutique Vila Nova,Aprovada,Sucesso,p29103810kas9102a
QNF4QONG,405,Camila Almeida,2026-09-22,16:25:43,2190,Cartão de Crédito,Online,Device,Livraria Horizonte,Aprovada,Sucesso,p29103810kas9102a
PI3IJDBH,411,Patricia Teixeira,2026-09-22,08:12:15,680,Boleto,Online,Device,Cobrança Energia Sul,Aprovada,Sucesso,a918203910amkz912
FI7HM3H0,411,Patricia Teixeira,2026-09-22,08:16:07,675,Boleto,Online,Device,Cobrança Telefonia Nova,Aprovada,Sucesso,a918203910amkz912
TSC7TJC6,411,Patricia Teixeira,2026-09-22,08:19:55,680,Boleto,Online,Device,Cobrança Internet Viva,Aprovada,Sucesso,a918203910amkz912
BZHEFLOH,388,Julia Gomes,2026-09-23,07:41:13,520,Pix,Online,Device,Rafael Almeida,Negada,Dispositivo não cadastrado,m918203ak102lsak8
31P4CTYO,392,Eduardo Pereira,2026-09-23,07:43:27,780,Pix,Online,Device,Mercado Aurora,Negada,Dispositivo não cadastrado,k910283910amkz912
A96K5EDR,417,Aline Moreira,2026-09-23,11:06:39,310,Cartão de Débito,Online,Device,Supermercado Extra,Negada,Dispositivo não cadastrado,d910283910amks019
71KDZDWK,423,Natalia Ramos,2026-09-23,11:09:02,860,Cartão de Crédito,Online,Device,Shopee,Negada,Dispositivo não cadastrado,k910283910amkz912
O9CPIGLL,429,Carolina Pereira,2026-09-23,17:22:14,1290,Pix,Online,Device,Renata Souza,Negada,Dispositivo não cadastrado,n190283910amks019
024Z5C9Q,436,Victor Cunha,2026-09-23,17:24:46,1290,Pix,Online,Device,Renata Souza,Negada,Dispositivo não cadastrado,u190283910amks019
2UCR8PY0,443,Debora Marques,2026-09-23,21:13:40,460,Cartão de Crédito,Online,Device,Kabum,Negada,Dispositivo não cadastrado,f819203ka012lsak9
R71GDYTZ,450,Murilo Ramos,2026-09-23,21:17:58,1550,Pix,Online,Device,Loja ByteMix,Negada,Dispositivo não cadastrado,n910283910amks019
D839T1G2,351,Daniela Costa,2026-09-22,09:08:14,"74,9",Pix,Online,Device,Casa do Café Central,Aprovada,Sucesso,f819203ka012lsak9
S8YO2KFW,355,Nicolas Martins,2026-09-22,09:17:06,"132,4",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Aprovada,Sucesso,
C114QY5D,361,Gabriel Santos,2026-09-22,10:03:55,58,Pix,Online,Device,Marina Lopes,Aprovada,Sucesso,x019283ka9102mzk9
43YW2S0M,366,Helena Oliveira,2026-09-22,10:21:27,"215,35",Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Aprovada,Sucesso,
MAV4VYWZ,370,Bruno Souza,2026-09-22,10:48:39,"189,9",Pix,Online,Device,Flor & Casa,Aprovada,Sucesso,m918203ak102lsak8
PQZVQ1FO,375,Mariana Ribeiro,2026-09-22,11:16:42,"92,7",Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Aprovada,Sucesso,
SNG5XEU3,380,Karen Alves,2026-09-22,11:38:12,540,Pix,Online,Device,Felipe Rocha,Aprovada,Sucesso,v910283910amks019
8E279P7Z,390,Lucas Fernandes,2026-09-22,13:09:34,"327,55",Cartão de Crédito,Online,Device,Restaurante Saboroso,Aprovada,Sucesso,k910283910amkz912
0UGJ5DSF,401,Amanda Barbosa,2026-09-22,13:24:18,445,Pix,Online,Device,Marina Lopes,Aprovada,Sucesso,k82f91m3p0slq19a2
J6IX6LD1,402,Rafael Lima,2026-09-22,13:41:03,"128,8",Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,b491a82m19sklp029
RB8IY09R,403,Juliana Martins,2026-09-22,14:18:27,760,Pix,Online,Device,Thiago Oliveira,Aprovada,Sucesso,x918239ak102mzx91
XRWFMYTU,404,Thiago Rocha,2026-09-22,14:26:55,"86,4",Cartão de Débito,Presencial,Cartão,Posto Ipiranga,Aprovada,Sucesso,
F0POAZ6R,406,Leonardo Castro,2026-09-22,14:52:09,"118,3",Pix,Online,Device,Petshop Ponto Verde,Aprovada,Sucesso,z910283mka9012391
APSU4RNK,407,Vanessa Carvalho,2026-09-22,15:04:21,960,Pix,Online,Device,Lucas Andrade,Aprovada,Sucesso,c910283910amks012
A321KIX1,408,Rodrigo Ribeiro,2026-09-22,15:39:46,205,Cartão de Crédito,Online,Device,Eletronix Curitiba,Aprovada,Sucesso,v91028391ak0291am
L1BIO94R,390,Lucas Fernandes,2026-09-23,10:12:10,680,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Negada,Senha incorreta,
WRS18ANC,390,Lucas Fernandes,2026-09-23,10:13:52,680,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Negada,Senha incorreta,
A2E7YH9X,390,Lucas Fernandes,2026-09-23,10:15:21,680,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Aprovada,Sucesso,
SWREUY3Z,390,Lucas Fernandes,2026-09-23,10:16:47,685,Cartão de Crédito,Presencial,Cartão,Restaurante Saboroso,Aprovada,Sucesso,
Y62TBCDX,355,Nicolas Martins,2026-09-23,14:27:05,"249,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Negada,Senha incorreta,
HVEVCZEL,355,Nicolas Martins,2026-09-23,14:28:23,"249,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Negada,Senha incorreta,
4NBKJYA7,355,Nicolas Martins,2026-09-23,14:29:46,"249,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Negada,Senha incorreta,
1EAHMJXR,355,Nicolas Martins,2026-09-23,14:32:08,"249,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Aprovada,Sucesso,
4JSWVSGG,375,Mariana Ribeiro,2026-09-23,16:03:44,"119,9",Cartão de Crédito,Presencial,Cartão,Mercado Bom Vizinho,Negada,Senha incorreta,
K29UP1ZE,375,Mariana Ribeiro,2026-09-23,16:15:06,"87,4",Cartão de Crédito,Presencial,Cartão,Mercado Bom Vizinho,Aprovada,Sucesso,
WIZO59FA,404,Thiago Rocha,2026-09-23,18:44:02,1490,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Senha incorreta,
WN0A9P54,404,Thiago Rocha,2026-09-23,18:46:08,1490,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Senha incorreta,
MBQU0MIR,404,Thiago Rocha,2026-09-23,18:48:21,1390,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Aprovada,Sucesso,
YNWN2XNF,404,Thiago Rocha,2026-09-23,18:49:44,1490,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Senha incorreta,
VPGBGBXO,361,Gabriel Santos,2026-09-23,08:21:15,"64,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Aprovada,Sucesso,
U7883Z2B,366,Helena Oliveira,2026-09-23,09:47:38,310,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Aprovada,Sucesso,
EEILTF80,380,Karen Alves,2026-09-23,11:35:41,"189,9",Pix,Online,Device,Marina Lopes,Aprovada,Sucesso,v910283910amks019
YTW6CGG0,401,Amanda Barbosa,2026-09-23,12:04:29,920,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,k82f91m3p0slq19a2
FNRWOI6O,406,Leonardo Castro,2026-09-23,13:16:55,"78,5",Cartão de Crédito,Presencial,Cartão,Petshop Ponto Verde,Aprovada,Sucesso,
OA0EWWPU,413,Beatriz Cavalcanti,2026-09-23,17:08:22,1740,Pix,Online,Device,Thiago Oliveira,Aprovada,Sucesso,w910283910amkz912
P7VX1HH7,366,Helena Oliveira,2026-09-23,15:18:04,420,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Senha incorreta,
FAV6S3GP,366,Helena Oliveira,2026-09-23,15:19:11,420,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Senha incorreta,
1K8TCZTL,366,Helena Oliveira,2026-09-23,15:20:20,420,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Cartão bloqueado,
LJ95KO3D,421,Bianca Freitas,2026-09-23,19:42:31,890,Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Negada,Senha incorreta,
9NLIE0L8,421,Bianca Freitas,2026-09-23,19:43:54,890,Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Negada,Senha incorreta,
DQVQ7C2A,421,Bianca Freitas,2026-09-23,19:45:12,905,Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Negada,Cartão bloqueado,
2S2Y81KM,350,Ana Silva,2026-09-24,09:18:04,320,Cartão de Débito,Presencial,Cartão,Mercado Aurora,Negada,Senha incorreta,
1XFWATFY,350,Ana Silva,2026-09-24,09:19:15,320,Cartão de Débito,Presencial,Cartão,Mercado Aurora,Negada,Senha incorreta,
4PQY9BSH,350,Ana Silva,2026-09-24,09:20:24,320,Cartão de Débito,Presencial,Cartão,Mercado Aurora,Negada,Cartão bloqueado,
FLFZ1W29,350,Ana Silva,2026-09-24,09:36:04,"95,7",Cartão de Débito,Presencial,Cartão,Mercado Aurora,Aprovada,Sucesso,
M04BVG50,361,Gabriel Santos,2026-09-24,11:43:12,780,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Senha incorreta,
DNG3TSOS,361,Gabriel Santos,2026-09-24,11:44:32,780,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Aprovada,Sucesso,
0K661P9H,361,Gabriel Santos,2026-09-24,11:45:41,810,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Senha incorreta,
G7826Q4W,361,Gabriel Santos,2026-09-24,11:47:02,810,Cartão de Crédito,Presencial,Cartão,Eletronix Curitiba,Negada,Cartão bloqueado,
9GEX5B9B,375,Mariana Ribeiro,2026-09-24,16:22:15,"139,9",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Negada,Senha incorreta,
AK4SS4I2,375,Mariana Ribeiro,2026-09-24,16:35:48,75,Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Aprovada,Sucesso,
Y90JO9UY,380,Karen Alves,2026-09-24,08:07:10,990,Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,v910283910amks019
TDM9HBC7,380,Karen Alves,2026-09-24,08:08:33,995,Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,v910283910amks019
CAS4WUT0,380,Karen Alves,2026-09-24,08:10:14,992,Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,v910283910amks019
B2VQ5ANP,380,Karen Alves,2026-09-24,08:11:29,998,Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,v910283910amks019
WYCUJ1LJ,390,Lucas Fernandes,2026-09-24,12:18:27,1499,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,k910283910amkz912
4VLDOZW0,390,Lucas Fernandes,2026-09-24,12:20:06,1499,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,k910283910amkz912
93QL82UB,390,Lucas Fernandes,2026-09-24,12:22:38,1499,Pix,Online,Device,Mercado Aurora,Negada,Limite Pix excedido,k910283910amkz912
JUT8927A,401,Amanda Barbosa,2026-09-24,23:51:09,620,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,k82f91m3p0slq19a2
DZCHK31E,401,Amanda Barbosa,2026-09-24,23:53:01,620,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,k82f91m3p0slq19a2
HA8OLZ3D,401,Amanda Barbosa,2026-09-25,00:02:14,620,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,k82f91m3p0slq19a2
8TMJ7OA3,406,Leonardo Castro,2026-09-24,13:14:07,920,Pix,Online,Device,Mercado Bom Vizinho,Negada,Dispositivo não cadastrado,a918203910amkz912
858ETHHX,413,Beatriz Cavalcanti,2026-09-24,14:52:18,1280,Pix,Online,Device,Renata Souza,Negada,Dispositivo não cadastrado,i910283910amkz912
3WGI6VCM,419,Fernanda Monteiro,2026-09-24,17:33:40,630,Pix,Online,Device,Petshop Ponto Verde,Negada,Dispositivo não cadastrado,g910283910amks019
643JAYOK,425,Mariana Lima,2026-09-24,18:11:22,2170,Pix,Online,Device,Eletronix Curitiba,Negada,Dispositivo não cadastrado,c190283910amkz912
HPX1Q9N2,429,Carolina Pereira,2026-09-24,21:45:11,440,Pix,Online,Device,Camila Nunes,Negada,Dispositivo não cadastrado,q190283910amks019
QUFEKPDO,443,Debora Marques,2026-09-25,01:12:36,980,Cartão de Crédito,Online,Device,Loja ByteMix,Negada,Dispositivo não cadastrado,z901823mk102lsak0
T9SOFW3F,366,Helena Oliveira,2026-09-24,10:16:09,"245,7",Pix,Online,Device,Marina Lopes,Aprovada,Sucesso,p91028310amks019a
1BKL6FOK,395,Olivia Rocha,2026-09-24,15:06:31,"115,4",Cartão de Crédito,Presencial,Cartão,Casa do Café Central,Aprovada,Sucesso,
Q3RJNFRH,407,Vanessa Carvalho,2026-09-24,16:28:52,360,Pix,Online,Device,Juliana Mendes,Aprovada,Sucesso,c910283910amks012
LAFAGCZM,412,Matheus Correia,2026-09-24,18:22:17,"88,9",Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Aprovada,Sucesso,
B8USIFTB,403,Juliana Martins,2026-09-24,09:42:03,2350,Cartão de Crédito,Online,Device,Eletronix Curitiba,Aprovada,Sucesso,x918239ak102mzx91
X4P158YN,403,Juliana Martins,2026-09-24,09:44:41,2280,Cartão de Crédito,Online,Device,Boutique Vila Nova,Aprovada,Sucesso,x918239ak102mzx91
MS0CGB3N,403,Juliana Martins,2026-09-24,09:47:09,2410,Cartão de Crédito,Online,Device,Livraria Horizonte,Aprovada,Sucesso,x918239ak102mzx91
HT43YIKT,409,Larissa Mendes,2026-09-24,10:55:16,510,Boleto,Online,Device,Cobrança Energia Sul,Aprovada,Sucesso,n910283910amks019
HLIAC3KW,409,Larissa Mendes,2026-09-24,10:58:02,510,Boleto,Online,Device,Cobrança Energia Sul,Aprovada,Sucesso,n910283910amks019
D9TN9U4H,409,Larissa Mendes,2026-09-24,11:01:17,510,Boleto,Online,Device,Cobrança Energia Sul,Aprovada,Sucesso,n910283910amks019
Q0J5MCY1,414,Diego Dias,2026-09-24,14:07:44,"129,9",Pix,Online,Device,Flor & Casa,Aprovada,Sucesso,e910283910amks019
VHCVR4XE,416,Vinicius Fernandes,2026-09-24,15:19:33,840,Pix,Online,Device,Thiago Oliveira,Aprovada,Sucesso,t910283910amks019
8YW81YQ4,418,Felipe Nunes,2026-09-24,16:38:05,"72,5",Cartão de Débito,Presencial,Cartão,Padaria Bela Manhã,Aprovada,Sucesso,
OMSDX65E,420,Lucas Barros,2026-09-24,17:16:39,1750,Pix,Online,Device,Beatriz Martins,Aprovada,Sucesso,o910283910amks019
S1DTFDNA,422,Gabriel Barbosa,2026-09-24,19:05:12,560,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Senha incorreta,
VAXI8ILY,422,Gabriel Barbosa,2026-09-24,19:06:29,560,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Senha incorreta,
I9ET7Y7W,422,Gabriel Barbosa,2026-09-24,19:07:40,560,Cartão de Crédito,Presencial,Cartão,Oficina Nova Rota,Negada,Cartão bloqueado,
WG1ENODK,424,Andre Vieira,2026-09-24,20:12:44,780,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,d910283910amks019
FAWSQIC4,424,Andre Vieira,2026-09-24,20:14:03,780,Pix,Online,Device,Mercado Aurora,Negada,Falta de saldo,d910283910amks019
XSP720IV,425,Mariana Lima,2026-09-24,20:26:17,780,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,f910283910amkz912
605JB8RY,425,Mariana Lima,2026-09-24,20:29:02,780,Pix,Online,Device,Mercado Aurora,Aprovada,Sucesso,f910283910amkz912
EDWAD962,436,Victor Cunha,2026-09-24,22:41:18,1090,Pix,Online,Device,Rafael Almeida,Aprovada,Sucesso,n190283910amks019
2KJPLMYA,450,Murilo Ramos,2026-09-25,02:08:44,330,Pix,Online,Device,Loja ByteMix,Aprovada,Sucesso,d290283910amks019
QVILVB9G,450,Murilo Ramos,2026-09-25,09:17:29,"66,4",Cartão de Débito,Presencial,Cartão,Mercado Bom Vizinho,Aprovada,Sucesso,
